========== Textual Sudoku Experiments Start ==========


========== Textual Sudoku on SATNet 9k/1k dataset ==========


python main.py --all_layers --n_layer 1 --n_recur 32 --n_head 4 --epochs 200 --eval_interval 1 --wandb --dataset satnet --gpu 0 --seed 0
Hyperparameters:  [1, 0.1]
[satnet] use 9000 for training and 1000 for testing
Using GPU 0
Total and single accuracy are the board and cell accuracy respectively.
Printing the accuracy (%) using testNN as the evaluation function:
idx   total_acc      single_acc     total_count    single_count   
100   0.00           59.54          0/1000         33023/55463    
101   0.00           60.38          0/1000         33486/55463    
102   0.00           60.33          0/1000         33459/55463    
103   0.00           60.95          0/1000         33803/55463    
104   0.00           61.26          0/1000         33974/55463    
105   0.00           61.57          0/1000         34149/55463    
106   0.00           61.74          0/1000         34241/55463    
107   0.00           62.49          0/1000         34658/55463    
108   0.00           62.76          0/1000         34806/55463    
109   0.00           62.73          0/1000         34792/55463    
110   0.00           63.30          0/1000         35110/55463    
111   0.00           65.15          0/1000         36132/55463    
112   0.10           65.75          1/1000         36466/55463    
113   0.20           66.36          2/1000         36807/55463    
114   0.10           67.94          1/1000         37679/55463    
115   18.80          78.01          188/1000       43266/55463    
116   32.20          82.18          322/1000       45577/55463    
117   49.60          86.95          496/1000       48225/55463    
118   48.40          86.76          484/1000       48122/55463    
119   49.40          87.16          494/1000       48341/55463    
120   60.10          89.46          601/1000       49616/55463    
121   61.10          90.26          611/1000       50060/55463    
122   61.60          90.12          616/1000       49982/55463    
123   61.90          90.26          619/1000       50063/55463    
124   61.90          89.92          619/1000       49875/55463    
125   67.60          91.64          676/1000       50828/55463    
126   61.40          91.08          614/1000       50513/55463    
127   65.40          91.41          654/1000       50696/55463    
128   64.10          91.15          641/1000       50552/55463    
129   68.20          92.01          682/1000       51031/55463    
130   71.00          92.58          710/1000       51347/55463    
131   64.30          91.13          643/1000       50544/55463    
132   66.90          91.82          669/1000       50924/55463    
133   67.40          91.92          674/1000       50983/55463    
134   68.40          92.91          684/1000       51533/55463    
135   70.20          92.87          702/1000       51510/55463    
136   69.70          92.17          697/1000       51120/55463    
137   70.50          92.69          705/1000       51410/55463    
138   70.80          92.99          708/1000       51575/55463    
139   71.30          93.07          713/1000       51617/55463    
140   73.40          93.35          734/1000       51775/55463    
141   72.80          93.14          728/1000       51657/55463    
142   72.50          93.38          725/1000       51793/55463    
143   74.90          93.53          749/1000       51873/55463    
144   72.80          92.86          728/1000       51505/55463    
145   70.70          92.72          707/1000       51427/55463    
146   72.50          92.83          725/1000       51489/55463    
147   73.40          93.06          734/1000       51614/55463    
148   74.10          93.47          741/1000       51844/55463    
149   74.00          93.43          740/1000       51820/55463    
150   74.00          93.47          740/1000       51842/55463    
151   73.60          93.67          736/1000       51953/55463    
152   75.20          94.31          752/1000       52306/55463    
153   74.80          93.32          748/1000       51756/55463    
154   77.20          94.05          772/1000       52164/55463    
155   75.30          93.75          753/1000       51994/55463    
156   74.70          93.62          747/1000       51927/55463    
157   71.70          92.53          717/1000       51318/55463    
158   77.10          93.80          771/1000       52022/55463    
159   75.70          93.93          757/1000       52097/55463    
160   74.60          92.82          746/1000       51482/55463    
161   75.50          93.43          755/1000       51818/55463    
162   77.40          93.95          774/1000       52107/55463    
163   76.70          94.16          767/1000       52226/55463    
164   76.80          93.22          768/1000       51705/55463    
165   77.90          94.32          779/1000       52313/55463    
166   77.10          94.32          771/1000       52315/55463    
167   75.10          93.90          751/1000       52081/55463    
168   77.80          93.90          778/1000       52078/55463    
169   75.90          94.39          759/1000       52354/55463    
170   76.30          93.23          763/1000       51710/55463    
171   75.70          93.30          757/1000       51748/55463    
172   74.80          93.41          748/1000       51808/55463    
173   74.90          93.90          749/1000       52081/55463    
174   78.40          94.41          784/1000       52362/55463    
175   75.70          94.03          757/1000       52150/55463    
176   78.30          94.21          783/1000       52250/55463    
177   76.70          93.82          767/1000       52033/55463    
178   78.60          94.16          786/1000       52225/55463    
179   76.50          93.82          765/1000       52034/55463    
180   76.50          94.00          765/1000       52133/55463    
181   76.40          94.00          764/1000       52136/55463    
182   76.80          93.56          768/1000       51892/55463    
183   76.10          93.43          761/1000       51817/55463    
184   77.60          94.97          776/1000       52675/55463    
185   77.90          94.03          779/1000       52150/55463    
186   78.40          94.33          784/1000       52321/55463    
187   78.70          94.27          787/1000       52284/55463    
188   79.20          94.62          792/1000       52479/55463    
189   76.00          94.32          760/1000       52310/55463    
190   74.90          93.02          749/1000       51591/55463    
191   75.10          93.01          751/1000       51584/55463    
192   78.50          94.21          785/1000       52252/55463    
193   76.40          93.20          764/1000       51693/55463    
